Subject,u,bin_resp,rts
2,0,0,6.0322484609028
2,0,0,5.99169976944201
2,0,0,6.24749281996723
2,0,1,5.85788658197023
2,0,0,6.47703159190474
2,1,0,6.5512186111974
2,1,0,6.83879237133186
2,0,1,6.10929891478059
2,1,1,5.94907622236683
2,1,1,6.45103329687676
2,0,0,6.07167170279849
2,1,0,6.31007372069021
2,0,1,6.31014479802414
2,0,1,6.47705051368186
2,1,1,6.21456029727956
2,0,1,6.27925192651543
2,1,0,6.10931446941792
2,1,0,6.07148710073357
2,0,1,6.70527329969025
2,0,1,6.70519676938536
2,1,1,6.2793175424523
2,0,1,6.47693805461011
2,1,0,6.18063075077105
2,0,0,6.03236653842784
2,1,0,6.10924202719311
2,0,1,5.75809987515716
2,0,0,5.90456507294792
2,0,0,6.24750926988572
2,0,0,6.14565429760156
2,0,0,5.94896745247436
2,0,0,5.90456452755507
2,0,1,5.94903840204242
2,0,1,6.33977465313421
2,0,0,5.94901623084255
2,0,0,6.07170723478277
2,0,0,5.94911065065781
2,1,0,5.70393346325825
2,0,0,5.45241818798772
2,0,0,5.90453698478706
2,0,0,5.90448762407085
2,0,0,5.58624028499356
2,0,0,5.75791579900341
2,1,0,5.70397445622789
2,0,1,6.87380234667619
2,0,0,5.90457598075738
2,1,0,5.90465015071695
2,1,0,5.75789180030293
2,0,0,5.64674146569082
2,0,0,5.85802914987499
2,0,0,5.85795886843792
2,1,0,5.75800168437636
2,1,0,5.58620204347566
2,1,1,6.07161771021847
2,1,1,6.27922099179447
2,0,1,6.33924810456402
2,1,0,5.90457488998328
2,1,1,6.47700174707406
2,0,1,5.90455907360275
2,0,0,6.30993918709963
2,0,0,5.99163703223221
2,0,0,5.94903318533443
2,1,0,5.85812685000908
2,1,1,6.27917205673575
2,1,1,6.10931135850859
2,0,1,6.33993840387339
2,1,0,5.90455334691869
2,0,0,6.03237373782841
2,1,0,5.70409242661557
2,0,0,6.14573764801329
2,0,0,5.94917950368641
2,0,0,6.10935002196125
2,1,0,5.90451189566608
2,1,1,5.75795905836501
2,0,1,5.70391779883315
2,1,1,6.18076875170953
2,1,0,6.42437879030753
2,0,0,6.6846471020424
2,1,0,5.85817912423107
2,0,0,6.33981206407226
2,1,0,6.07168323929377
2,1,1,6.27913474448944
2,1,1,5.64677499060284
2,1,1,5.75821541851564
2,1,1,6.3975336394466
2,0,0,5.8091695899618
2,1,0,5.99149479665024
2,1,0,5.94884536569622
2,1,1,5.52171088661841
2,1,1,5.90454298426724
2,1,1,5.64700293021275
2,1,1,6.07171715582836
3,1,1,6.14576078776955
3,1,1,5.8580460052587
3,1,1,5.5859575631233
3,1,1,5.45266374151055
3,0,1,5.29890669286292
3,1,1,5.29854584044548
3,1,1,5.29863181710288
3,1,1,5.3783251505349
3,1,1,5.52183924628707
3,0,1,5.52167649462486
3,1,1,5.29851384724366
3,0,1,5.37860204494367
3,1,1,5.37853652019238
3,1,1,5.37878521460678
3,1,1,5.37890884669577
3,1,1,5.37874692246406
3,1,1,5.29864581260534
3,1,1,5.37857482039254
3,0,1,5.29859232874143
3,1,1,5.37849591114828
3,1,1,5.37865741462825
3,1,1,5.3784857586322
3,0,1,5.29893667473539
3,0,1,5.64692636805913
3,0,1,5.37877045154557
3,0,0,5.80939965737145
3,0,0,5.37843453298765
3,0,0,5.29866980443242
3,0,0,5.37886548494329
3,0,0,5.21160903454448
3,0,0,5.52161690569557
3,1,0,5.37846037688476
3,1,0,5.21144325286432
3,1,0,5.58617392377528
3,1,1,5.70396145863697
3,0,1,5.45302360630913
3,0,1,5.29861632185626
3,0,1,5.80917618976288
3,1,0,5.45247861774832
3,0,0,5.75813933818743
3,1,0,5.37871785636373
3,0,0,5.45270444700307
3,1,0,5.64678840025296
3,1,0,5.11609200512662
3,1,0,5.37880689745845
3,1,1,5.5861791728463
3,1,1,5.21186147161373
3,0,1,5.52158930962058
3,1,1,5.29883873061427
3,1,1,5.29876426667228
3,0,1,5.52172208375622
3,0,1,5.21163411753653
3,1,1,5.45264703035715
3,0,0,5.64661582548854
3,0,0,5.90463651694531
3,0,0,5.52176447178492
3,0,0,5.94899040729667
3,0,0,5.29880774629276
3,1,0,5.37849821852526
3,0,0,5.3789125369718
3,1,0,5.52180205966731
3,0,0,6.14581027933989
3,0,0,5.8580420057028
3,0,0,5.2985573377534
3,0,0,5.21152560180479
3,1,0,5.21144925202384
3,0,0,5.21127253445276
3,0,0,5.37860988916732
3,0,0,5.75795179597716
3,0,0,5.37862696168112
3,0,0,5.29876126801036
3,0,0,5.45280084813419
3,0,0,5.29854584044548
3,0,0,5.29833736634708
3,1,0,5.4526620275594
3,1,0,5.45274729309668
3,0,NaN,NaN
3,1,0,5.5216333030025
3,1,0,5.37842345682969
3,0,1,5.37854621074344
3,1,1,5.58598081382632
3,0,1,5.52173967900491
3,0,1,5.58636512213006
3,1,0,5.80916659003472
3,0,0,5.45283469343704
3,1,0,6.07149633164516
3,1,0,5.52184804291942
3,0,0,5.64700786950602
3,0,1,5.37871601086921
3,1,0,5.80929917811539
3,0,0,5.80926768253919
3,1,0,5.99177324945467
3,0,0,5.94897788655015
3,1,0,5.5216608978635
3,0,0,5.45241733080303
3,0,0,5.5862545314615
3,0,0,5.58596131327287
3,0,0,5.37859696923725
3,0,0,5.21195087248524
3,0,0,5.29854983952459
3,0,0,5.52159690861383
3,0,0,5.45261360720863
3,0,0,5.37857482039254
3,0,0,5.52145411783828
3,0,0,5.21153105513947
3,1,0,5.45284840260254
3,0,0,5.29860832421604
3,0,0,5.52192960801067
3,0,0,5.37878705997358
3,0,0,5.70402844440337
3,0,0,5.21162266668305
3,1,0,5.45283683550709
3,0,0,5.21175298055202
3,0,0,5.37868509831881
3,1,0,5.21139089504505
3,1,0,5.58615555181402
3,0,0,5.2985348428983
3,0,0,5.64669594058465
3,0,0,5.75780116843357
3,1,0,5.52183004972381
3,1,0,5.2117262648665
3,1,0,5.29871978556557
3,1,1,5.52184964229831
3,0,1,5.64679439924976
3,1,1,5.64691931134352
3,1,1,5.45288224629792
3,0,1,5.37865556902009
3,0,1,5.80935226841366
3,0,1,5.37857066742954
3,0,0,5.58621141653057
3,1,0,5.64673193735045
3,1,0,5.64660664890102
3,1,0,5.37856928310681
3,0,1,5.58621816507734
3,1,1,5.58620616763051
3,0,1,5.21185820069843
3,1,1,5.21172135782611
3,0,1,5.5862421595409
3,0,1,5.45246747494585
3,0,1,5.52167609470978
3,1,0,5.64692672089143
3,1,0,5.21176224909112
3,0,0,5.45266245604892
3,1,0,5.58614205382981
3,1,0,5.75805535898713
3,0,0,5.37853836601817
3,1,0,5.90453043985945
3,0,0,5.70413274663599
3,1,1,5.45269930534621
3,1,0,5.70394246185777
3,1,1,5.81011741540773
3,1,1,5.45274472238267
3,1,1,5.29832536651465
3,0,1,5.21178623785733
3,1,1,5.11645310518082
3,1,1,5.37854159620563
3,1,1,5.52166169770566
3,1,1,5.29859682749431
3,1,1,5.29859682749431
3,1,1,5.21158667743522
4,1,0,5.99158154026383
4,1,0,6.59757685040236
4,1,1,6.03234254006034
4,1,1,6.55109104927184
4,0,1,6.36881151971561
4,1,0,6.27919211852433
4,1,1,6.57465999403565
4,1,1,6.42438008753994
4,1,0,6.21463929793568
4,0,1,6.551132190842
4,1,0,6.57469961920976
4,0,0,6.18096982243114
4,1,0,6.36871534873456
4,1,0,6.76460554953146
4,1,1,6.18073089127767
4,1,1,6.59763575914211
4,1,1,6.52701595364592
4,1,0,6.66360193454039
4,0,1,6.39696782115467
4,1,1,6.57461590220855
4,1,1,6.82071590160078
4,1,1,6.64211737198925
4,0,1,6.76468205034514
4,0,0,6.70525138201022
4,0,0,6.3399055852923
4,0,1,6.70517791141954
4,0,1,6.45108745133151
4,0,0,6.42432803480934
4,0,0,6.62009640626145
4,0,0,6.6845627264674
4,0,0,6.52699151513379
4,1,1,6.62007920651257
4,1,1,6.36885163108108
4,1,1,6.3098940961157
4,1,1,6.47714896267996
4,0,0,6.50240061477501
4,0,0,6.42440651826217
4,0,0,6.21457869798987
4,1,1,6.368918308381
4,0,1,6.10929224843367
4,1,0,6.52711853034774
4,0,1,6.80241076319647
4,1,1,6.52692946496938
4,1,1,6.70523521894347
4,1,1,6.50238801608672
4,1,0,6.39707597784377
4,1,1,6.82076106548147
4,0,0,6.70530648141105
4,1,0,6.55119404286379
4,1,1,6.59766548492046
4,0,1,6.80236231835367
4,0,0,6.4769629782303
4,1,0,6.36880037738497
4,0,1,6.50226637059119
4,0,0,6.42440732901051
4,0,0,6.70527354457858
4,0,0,6.3099597319129
4,0,0,6.72540068164215
4,1,0,6.31010353379264
4,0,1,6.4244113827372
4,1,0,6.74526529024243
4,0,1,6.78372036600363
4,0,1,6.95659867982989
4,0,1,6.68461522766196
4,0,0,6.39715396339022
4,1,0,6.87387827872927
4,0,1,6.52716769319702
4,0,0,6.6846679760859
4,0,0,6.45101766574367
4,0,0,6.68460347763383
4,0,1,6.50230117081356
4,0,0,6.42428052013905
4,0,0,6.27930085766426
4,0,0,6.27918574379412
4,1,1,6.45107939939728
4,1,1,6.72550867937862
4,0,1,6.27923074102106
4,1,0,6.50233521985941
4,1,0,6.7053499465735
4,0,1,6.24755203840039
4,1,0,6.24734185515747
4,0,1,6.82073259283753
4,0,0,6.85654387597839
4,1,0,6.59755080399664
4,0,0,6.95660639367459
4,1,0,6.90770557774696
4,1,1,6.31001700062654
4,0,1,6.1807255120833
4,0,1,6.76473385526428
4,1,0,6.64202267803347
4,0,1,6.68466660116262
4,1,1,6.47707128107395
4,0,1,6.74526599610359
4,1,0,6.07170538899806
4,0,0,6.55112304841706
4,0,1,6.89102551360594
4,0,0,6.36880757705902
4,0,0,6.62017706780289
4,0,1,6.59767216628115
4,0,0,6.33979388817812
4,0,0,6.50227537076453
4,0,0,6.74518717180451
4,0,1,6.55116504574142
4,0,0,6.4243987350548
4,0,1,6.55117733033892
4,1,0,6.55110019198934
4,0,0,6.36881546235743
4,0,1,6.82073041099254
4,0,0,6.50241306332256
4,0,0,6.78372829036061
4,0,0,6.76466855062634
4,1,1,6.72539276134937
4,0,1,6.98783644745466
4,0,0,6.8023962077677
4,1,0,6.4243870601298
4,1,1,6.42431927800946
4,0,1,6.45103124431656
4,0,0,6.62012427189335
4,0,0,6.39688232076275
4,1,0,6.6636333369329
4,1,1,5.75789401073477
4,1,0,6.74519270147329
4,1,1,6.50225347020096
4,0,1,6.39703564959911
4,1,0,6.8564654582727
4,1,0,6.50225647030553
4,0,0,6.98781134041262
4,0,0,6.64211437218021
4,0,1,6.74528540710457
4,0,0,6.36875957824873
4,1,0,6.33979671163943
4,1,1,6.68467672555558
4,1,1,6.64217475790169
4,0,0,6.87387941663192
4,1,0,6.80243309592288
4,0,1,6.4243980864509
4,1,0,6.47700236243949
4,0,0,6.55115918907713
4,0,0,6.62016346912299
4,0,1,6.45103061275934
4,1,0,6.42444770339615
4,1,0,6.72547064150657
4,0,1,7.01815727499499
4,1,0,6.70518550363107
4,1,0,6.72517516876632
4,0,0,6.72549608024378
4,1,0,6.7052653408121
4,0,1,6.10937201946653
4,1,1,6.95660277484159
4,1,1,6.89096216056793
4,1,0,6.70525897366341
4,1,1,6.50240991370458
4,1,1,6.31005972276832
4,0,0,6.76470258802864
4,1,0,6.74526364322914
4,1,1,6.30997391304233
4,1,0,6.7451956427732
4,1,1,6.30990355084515
4,1,1,6.55119689967802
4,1,1,6.89091527876897
5,1,1,6.0717485333642
5,1,1,6.1456647971343
5,1,1,5.58627290160442
5,1,1,5.94884223507232
